,Stage Name ,Full Name ,Korean Name ,K. Stage Name,Date of Birth ,Group ,Country ,Height ,Weight,Birthplace ,Gender ,Instagram
330,Taecyeon,Ok Taecyeon,옥택연,택연,12/27/1988,2:00 PM,South Korea,185,76,Busan,M,
331,Wooyoung,Jang Wooyoung,장우영,우영,4/30/1989,2:00 PM,South Korea,178,65,Busan,M,
332,Junho,Lee Junho,이준호,준호,1/25/1990,2:00 PM,South Korea,178,67,Ilsan,M,
333,Chansung,Hwang Chansung,황찬성,찬성,2/11/1990,2:00 PM,South Korea,184,75,Seoul,M,
334,Jeongkyun,Jeong Jeongkyun,정정균,정균,11/27/1987,,South Korea,180,60,,M,
335,Ron,Cheon Byeonghwa,천병화,론,1/22/1991,Bigflo,South Korea,183,62,,M,
336,Yoosung,Jeong Yoosung,정유성,유성,10/8/1992,,South Korea,175,52,,M,
337,Z-UK,Jeong Jaewook,정재욱,지욱,1/27/1993,,South Korea,174,62,,M,
338,HighTop,Lim Hyeontae,임현태,하이탑,3/19/1994,Bigflo,South Korea,178,60,,M,
339,Kichun,Hwang Kichun,황기천,기천,3/14/1992,,South Korea,179,63,,M,
340,Eunkwang,Seo Eunkwang,서은광,은광,11/22/1990,BtoB,South Korea,173,62,Yongin,M,
341,Minhyuk,Lee Minhyuk,이민혁,민혁,11/29/1990,BtoB,South Korea,173,61,Seoul,M,
342,Changsub,Lee Changsub,이창섭,창섭,2/26/1991,BtoB,South Korea,177,64,Suwon,M,
343,Hyunsik,Lim Hyunsik,임현식,현식,3/7/1992,BtoB,South Korea,177,66,Ilsan,M,
344,Peniel,Shin Donggeun,신동근,프니엘,3/10/1993,BtoB,South Korea,175,63,Chicago,M,
345,Ilhoon,Jung Ilhoon,정일훈,일훈,10/4/1994,BtoB,South Korea,176,64,Seoul,M,
346,Sungjae,Yook Sungjae,육성재,성재,5/2/1995,BtoB,South Korea,180,68,Yongin,M,
347,S.Coups,Choi Seungcheol,최승철,에스.쿱스,8/8/1995,Seventeen,South Korea,177,63,Daegu,M,
348,Wonwoo,Jeon Wonwoo,전원우,원우,7/17/1996,Seventeen,South Korea,180,57,Changwon,M,
349,Mingyu,Kim Mingyu,김민규,민규,4/6/1997,Seventeen,South Korea,185,65,Anyang,M,
350,Vernon,Choi Hansol,최한솔,버논,2/18/1998,Seventeen,USA,176,56,New York,M,
351,Woozi,Lee Jihoon,이지훈,우지,11/22/1996,Seventeen,South Korea,165,54,Busan,M,
352,Jeonghan,Yoon Jeonghan,윤정한,정한,10/4/1995,Seventeen,South Korea,175,54,Seoul,M,
353,Joshua,Hong Jisoo,홍지수,조슈아,12/30/1995,Seventeen,USA,176,63,Los Angeles,M,
354,DK,Lee Seongmin,이석민,도겸,2/18/1997,Seventeen,South Korea,178,68,Yongin,M,
355,Seungkwan,Boo Seungkwan,부승관,승관,1/16/1998,Seventeen,South Korea,172,58,Jeju,M,
356,Hoshi,Kwon Soonyoung,권순영,호시,6/15/1996,Seventeen,South Korea,178,63,Namyangju,M,
357,Jun,Weng Junhui,원쥔훼이,준,6/10/1996,Seventeen,China,180,63,Shenzen,M,
358,The8,Xu Minghao,쉬밍하오,디에잇,11/7/1997,Seventeen,China,175,53,Anshan,M,
359,Dino,Lee Chan,이찬,디노,2/11/1999,Seventeen,South Korea,167,54,Iksan,M,
360,Kyungil,Song Kyungil,송경일,경일,11/28/1987,HISTORY,South Korea,183,72,,M,
361,Dokyun,Na Dokyun,나도균,도균,2/11/1991,HISTORY,South Korea,184,65,Daejeon,M,
362,Sihyoung,Kim Sihyoung,김시형,시형,5/15/1992,HISTORY,South Korea,182,63,Busan,M,
363,Jaeho,Kim Jaeho,김재호,재호,9/17/1992,HISTORY,South Korea,174,58,,M,
364,Yijeong,Jang Yijeong,장이정,이정,9/10/1993,HISTORY,South Korea,173,58,Jinju,M,
365,Donghyun,Kim Donghyun,김동현,동현,2/12/1989,Boyfriend,South Korea,178,60,Seoul,M,
366,Hyunseong,Shim Hyunseong,심현성,현성,6/9/1993,Boyfriend,South Korea,178,58,Yeongcheon,M,
367,Jeongmin,Lee Jeongmin,이정민,정민,2/1/1994,Boyfriend,South Korea,173,60,Suwon,M,
368,Youngmin,Jo Youngmin,조영민,영민,4/24/1995,Boyfriend,South Korea,180,0,Anyang,M,
369,Kwangmin,Jo Kwangmin,조광민,광민,4/24/1995,Boyfriend,South Korea,180,0,Anyang,M,
370,Minwoo,No Minwoo,노민우,민우,7/31/1995,Boyfriend,South Korea,174,60,Anyang,M,
371,Seyoung,Lee Seyoung,이세영,세영,2/8/1990,CROSS GENE,South Korea,180,60,Busan,M,
372,Casper,Chu Xiaoxiang,저효상,캐스퍼,3/20/1991,CROSS GENE,China,176,66,Shanghai,M,
373,Shin,Shin Wonho,신원호,신,10/23/1991,CROSS GENE,South Korea,185,66,Seoul,M,
374,Takuya,Terada Takuya,테라다 타쿠야,타쿠야,3/18/1992,CROSS GENE,Japan,187,68,Moriya,M,
375,Sangmin,Kim Sangmin,김상민,상민,7/7/1992,CROSS GENE,South Korea,178,67,Jinju,M,
376,Yongseok,Kim Yongseok,김용석,용석,1/8/1993,CROSS GENE,South Korea,176,64,Seoul,M,
377,J.seph,Kim Taehyung,김태형,제이셉,6/21/1992,KARD,South Korea,0,0,,M,
378,BM,Matthew Kim,매튜김,비엠,10/20/1992,KARD,South Korea,0,0,,M,
387,Jinho,Jo Jinho,조진호,조진호,4/17/1992,PENTAGON,South Korea,0,0,,M,
388,Hui,Lee Hwitaek,이회택,후이,8/28/1993,PENTAGON,South Korea,0,0,,M,
389,Hongseok,Yang Hongseok,양홍석,홍석,4/17/1994,PENTAGON,South Korea,0,0,,M,
390,E'Dawn,Kim Hyojong,김효종,이던,6/1/1994,,South Korea,0,0,,M,
391,Shinwon,Go Shinwon,고신원,신원,12/11/1995,PENTAGON,South Korea,0,0,,M,
392,Yeo One,Yeon Changgu,여창구,여원,3/27/1996,PENTAGON,South Korea,0,0,,M,
393,Yan An,Yan An,옌안,옌안,10/25/1996,PENTAGON,China,0,0,Shanghai,M,
394,Yuto,Adachi Yuto,아다치 유토,유토,1/23/1998,PENTAGON,Japan,0,0,,M,
395,Kino,Kang Hyungku,강형구,키노,1/27/1998,PENTAGON,South Korea,0,0,,M,
396,Wooseok,Jeong Wooseok,정우석,우석,1/31/1998,PENTAGON,South Korea,0,0,,M,
444,Taeil,Moon Taeil,문태일,태일,6/14/1994,NCT,South Korea,171,60,Seoul,M,
445,Taeyong,Lee Taeyong,이태용,태용,7/1/1995,NCT,South Korea,0,0,,M,
446,Doyoung,Kim Dongyoung,김동영,도영,2/1/1996,NCT,South Korea,0,0,Guri,M,
447,Ten,Chittaphon Leechaiyapornkul,칫따폰 리차이야뽄꾼,텐,2/27/1996,NCT,Thailand,0,0,Bangkok,M,
448,Jaehyun,Jung Yoonoh,정윤오,재현,2/14/1997,NCT,South Korea,0,0,Seoul,M,
449,Mark,Mark Lee,마크 리,마크,8/2/1999,NCT,Canada,0,0,Vancouver,M,
450,Johnny,John Seo,존 서,쟈니,2/9/1995,NCT,USA,0,0,Chicago,M,
451,Yuta,Nakamoto Yuta,나카모토 유타,유타,10/26/1995,NCT,Japan,0,0,Osaka,M,
452,Winwin,Dong Sicheng,뚱쓰청,윈윈,10/28/1997,NCT,China,0,0,Zhejiang,M,
453,Haechan,Lee Donghyuk,이동혁,해찬,6/6/2000,NCT,South Korea,0,0,,M,
454,Renjun,Hwang Renjun,황런쥔,런쥔,3/23/2000,NCT,China,0,0,Jilin,M,
455,Jeno,Lee Jeno,이제노,제노,4/23/2000,NCT,South Korea,0,0,,M,
456,Jaemin,Na Jaemin,나재민,재민,8/13/2000,NCT,South Korea,0,0,,M,
457,Chenle,Zhong Chenle,중천러,천러,11/22/2001,NCT,China,0,0,Shanghai,M,
458,Jisung,Park Jisung,박지성,지성,2/5/2002,NCT,South Korea,0,0,,M,
459,Soohyun,Shin Soohyun,신수현,수현,3/11/1989,U-KISS,South Korea,0,0,Pocheon,M,
460,Kiseop,Lee Kiseop,이기섭,기섭,1/17/1991,U-KISS,South Korea,0,0,Seongnam,M,
461,Eli,Ellison Kim,엘리슨 킴,일라이,3/13/1991,U-KISS,USA,0,0,Los Angeles,M,
462,Hoon,Yeo Hoonmin,여훈민,훈,8/16/1991,U-KISS,South Korea,0,0,Namyangju,M,
463,Kevin,Christopher Woo,크리스토퍼 우,케빈,11/25/1991,U-KISS,USA,0,0,Los Angeles,M,
464,Jun,Lee Junyoung,이준영,준,1/22/1997,U-KISS,South Korea,0,0,,M,
465,Seungho,Yang Seungho,양승호,승호,10/16/1987,MBLAQ,South Korea,0,0,Seoul,M,
466,G.O,Jung Byunghee,정병희,지오,11/6/1987,MBLAQ,South Korea,0,0,Changwon,M,
467,Mir,Bang Cheolyong,방철용,미르,3/10/1991,MBLAQ,South Korea,0,0,Bukhamyeon,M,
468,Lee Joon,Lee Changseon,이창선,이준,2/7/1988,,South Korea,0,0,Seoul,M,
469,Thunder,Park Sanghyun,박상현,천둥,10/7/1990,,South Korea,0,0,Busan,M,
470,C.A.P,Bang Minsoo,방민수,캡,11/4/1992,Teen Top,South Korea,0,0,Seongnam,M,
471,Chunji,Lee Chanhee,이찬희,천지,10/5/1993,Teen Top,South Korea,0,0,Seongnam,M,
472,L.Joe,Lee Byunghun,이병헌,엘조,11/23/1993,,South Korea,0,0,Gunsan,M,
473,Niel,Ahn Daniel,안다니엘,니엘,8/16/1994,Teen Top,South Korea,0,0,Anyang,M,
474,Ricky,Yoo Changhyun,유창현,리키,2/27/1995,Teen Top,South Korea,0,0,Seoul,M,
475,Changjo,Choi Jonghyun,최종현,창조,11/16/1995,Teen Top,South Korea,0,0,Chuncheon,M,
476,MJ,Kim Myungjun,김명준,엠제이,3/5/1994,ASTRO,South Korea,0,0,Nowon,M,
477,Jin Jin,Park Jinwoo,박진우,진진,3/15/1996,ASTRO,South Korea,0,0,Nowon,M,
478,Eunwoo,Cha Eunwoo,차은우,은우,3/30/1997,ASTRO,South Korea,0,0,Gunpo,M,
479,Moon Bin,Moon Bin,문빈,문빈,1/26/1998,ASTRO,South Korea,0,0,Cheongju,M,
480,Rocky,Park Minhyuk,박민혁,라키,2/25/1999,ASTRO,South Korea,0,0,Jinju,M,
481,Sanha,Yoon Sanha,윤산하,산하,3/21/2000,ASTRO,South Korea,0,0,Seoul,M,
482,Kevin,Kevin Jiyeop Kim,케빈 지엽 킴,케빈,2/23/1988,ZE:A,South Korea,0,0,Sydney,M,
483,Kwanghee,Hwang Kwanghee,황광희,광희,8/25/1988,ZE:A,South Korea,0,0,Paju,M,
484,Siwan,Yim Siwan,임시완,시완,12/1/1988,ZE:A,South Korea,0,0,Busan,M,
485,Lee Hoo,Moon Junyoung,문준영,,2/9/1989,ZE:A,South Korea,0,0,Seoul,M,
486,Taeheon,Kim Taeheon,김태헌,태헌,6/18/1989,ZE:A,South Korea,0,0,Gwangju,M,
487,Heechul,Jung Heechul,정희철,희철,12/9/1989,ZE:A,South Korea,0,0,Jeju,M,
488,Minwoo,Ha Minwoo,하민우,민우,9/6/1990,ZE:A,South Korea,0,0,Yangsan,M,
489,Hyungsik,Park Hyungsik,박형식,형식,11/16/1991,ZE:A,South Korea,0,0,Yongin,M,
490,Dongjun,Kim Dongjun,김동준,동준,2/11/1992,ZE:A,South Korea,0,0,Busan,M,
491,Shownu,Son Hyunwoo,손현우,셔누,6/18/1992,MONSTA X,South Korea,0,0,,M,
492,Wonho,Shin Hoseok,신호석,원호,3/1/1993,,South Korea,0,0,Anyang,M,
493,Minhyuk,Lee Minhyuk,이민혁,민혁,11/3/1993,MONSTA X,South Korea,0,0,,M,
494,Kihyun,Yoo Kihyun,유기현,기현,11/22/1993,MONSTA X,South Korea,0,0,Goyang,M,
495,Hyungwon,Chae Hyungwon,채형원,형원,1/15/1994,MONSTA X,South Korea,0,0,Gwangju,M,
496,Jooheon,Lee Jooheon,이주헌,주헌,10/6/1994,MONSTA X,South Korea,0,0,Daegu,M,
497,I.M,Lim Changkyun,임창균,아이엠,1/26/1996,MONSTA X,South Korea,0,0,Gwangju,M,
498,Rain,Jung Jihoon,정지훈,비,6/25/1982,,South Korea,0,0,Seosan,M,
499,PSY,Park Jaesang,박재상,싸이,12/31/1977,,South Korea,0,0,Seoul,M,
500,Gunwoo,Lee Gunwoo,이건우,건우,1/30/1989,MYNAME,South Korea,0,0,Daejeon,M,
501,Insoo,Kang Insoo,강인수,인수,3/10/1988,MYNAME,South Korea,0,0,Suwon,M,
502,Seyong,Kim Seyong,김세용,세용,11/20/1991,MYNAME,South Korea,0,0,Busan,M,
503,JunQ,Kang Junkyu,강준규,준규,8/9/1993,MYNAME,South Korea,0,0,Uljeongbu,M,
504,Chaejin,Chae Jinseok,채진석,채진,12/26/1995,MYNAME,South Korea,0,0,Seoul,M,
510,Jinu,Kim Jinwoo,김진우,진우,9/26/1991,WINNER,South Korea,0,0,Imja,M,
511,Hoony,Lee Seunghoon,이승훈,승훈,1/11/1992,WINNER,South Korea,0,0,Busan,M,
512,Yoon,Kang Seungyoon,강승윤,승윤,1/21/1994,WINNER,South Korea,0,0,Busan,M,
513,Mino,Song Minho,송민호,민호,3/30/1993,WINNER,South Korea,0,0,Yongin,M,
514,Taehyun,Nam Taehyun,남태현,태현,5/10/1994,,South Korea,0,0,Hanam,M,
515,B.I,Kim Hanbin,김한빈,비아이,10/22/1996,,South Korea,0,0,Goyang,M,
516,Jay,Kim Jinhwan,김진환,제이,2/7/1994,iKON,South Korea,0,0,Jeju,M,
517,Song,Song Yunhyeong,송윤형,송,2/8/1995,iKON,South Korea,0,0,,M,
518,Bobby,Kim Jiwon,김지원,바비,12/21/1995,iKON,South Korea,0,0,Seoul,M,
519,DK,Kim Donghyuk,김동혁,디케이,1/3/1997,iKON,South Korea,0,0,,M,
520,Ju-ne,Koo Junhoe,구준회,준회,3/31/1997,iKON,South Korea,0,0,Seoul,M,
521,Chan,Jung Chanwoo,정찬우,찬,1/26/1998,iKON,South Korea,0,0,Yongin,M,
523,Jae,Park Jaehyung,박제형,제이,9/15/1992,DAY6,South Korea,0,0,Buenos Aires,M,
524,Sungjin,Park Sungjin,박성진,성진,1/16/1993,DAY6,South Korea,0,0,,M,
525,Young K,Kang Young-hyun,강영현,영케이,12/19/1993,DAY6,South Korea,0,0,,M,
526,Wonpil,Kim Wonpil,김원필,원필,4/28/1994,DAY6,South Korea,0,0,,M,
527,Dowoon,Yoon Dowoon,윤도운,도운,8/25/1995,DAY6,South Korea,0,0,,M,
528,Junhyeok,Kim Junhyeok,임준혁,준혁,7/17/1993,,South Korea,0,0,,M,
529,Yonghwa,Jung Yonghwa,정용화,용화,6/22/1989,CNBLUE,South Korea,0,0,Seoul,M,
530,Jonghyun,Lee Jonghyun,이종현,종현,5/15/1990,CNBLUE,South Korea,0,0,Busan,M,
531,Minhyuk,Kang Minhyuk,강민혁,민혁,6/28/1991,CNBLUE,South Korea,0,0,Ilsan,M,
532,Jungshin,Lee Jungshin,이정신,정신,9/15/1991,CNBLUE,South Korea,0,0,,M,
533,Jonghoon,Choi Jonghoon,최종훈,종훈,3/7/1990,FTISLAND,South Korea,0,0,Seoul,M,
534,Honggi,Lee Honggi,이홍기,홍기,3/2/1990,FTISLAND,South Korea,0,0,Gwangju,M,
535,Jaejin,Lee Jaejin,이재진,재진,12/17/1991,FTISLAND,South Korea,0,0,Cheongju,M,
536,Seunghyun,Song Seungyun,송승현,승현,8/21/1992,FTISLAND,South Korea,0,0,Seoul,M,
537,Minhwan,Choi Minhwan,최민환,민환,11/11/1992,FTISLAND,South Korea,0,0,Seoul,M,
538,Kwangjin,Kwon Kwangjin,권광진,광진,8/12/1992,N.Flying,South Korea,0,0,Seoul,M,
539,Seunghyub,Lee Seunghyub,이승협,승협,10/31/1992,N.Flying,South Korea,0,0,Daegu,M,
540,Cha Hoon,Cha Hoon,차훈,차훈,7/12/1994,N.Flying,South Korea,0,0,Seoul,M,
541,Jaehyun,Kim Jaehyun,김재현,재현,7/15/1994,N.Flying,South Korea,0,0,Seoul,M,
542,Inseong,Kim Inseong,김인성,인성,7/12/1993,SF9,South Korea,0,0,,M,
543,Youngbin,Kim Youngbin,김영빈,영빈,11/23/1993,SF9,South Korea,0,0,,M,
544,Jaeyoon,Lee Jaeyoon,이재윤,재윤,8/9/1994,SF9,South Korea,0,0,,M,
545,Dawon,Lee Sanghyuk,이상혁,다원,7/24/1995,SF9,South Korea,0,0,,M,
546,Zuho,Bae Juho,백주호,주호,7/4/1996,SF9,South Korea,0,0,,M,
547,Rowoon,Kim Seokwoo,김석우,로운,8/7/1996,SF9,South Korea,0,0,,M,
548,Taeyang,Yoo Taeyang,유태양,태양,2/28/1997,SF9,South Korea,0,0,,M,
549,Hwiyoung,Kim Youngkyun,김영균,휘영,5/11/1999,SF9,South Korea,0,0,,M,
550,Chani,Kang Chanhee,강찬희,찬희,1/17/2000,SF9,South Korea,0,0,,M,
579,J-Hoon,Lim Junghoon,임정훈,제이훈,7/15/1990,B.I.G,South Korea,172,62,Seoul,M,
580,Benji,Baek Jaewook,배제욱,벤지,5/3/1992,B.I.G,USA,183,72,Indianapolis,M,
581,Gunmin,Lee Gunmin,이건민,건민,10/3/1994,B.I.G,South Korea,177,64,Gangwon,M,
582,Minpyo,Gook Minpyo,국민표,민표,11/15/1994,B.I.G,South Korea,173,57,Gwangju,M,
583,Heedo,Yoon Heedo,유희도,희도,4/22/1996,B.I.G,South Korea,180,60,Seoul,M,
610,Minwoo†,Seo Minwoo,서민우,민우,2/8/1985,100%,South Korea,0,0,Daegu,M,
611,Rokhyun,Kim Rokhyun,김록현,록현,2/10/1991,100%,South Korea,0,0,Suncheon,M,
612,Jonghwan,Jo Jonghwan,조종환,종환,11/23/1992,100%,South Korea,0,0,Seoul,M,
613,Chanyong,Kim Chanyong,김찬용,찬용,4/29/1993,100%,South Korea,0,0,Suwon,M,
614,Hyukjin,Jang Hyukjin,장혁진,혁진,12/20/1993,100%,South Korea,0,0,Busan,M,
615,Sanghoon,Lee Sanghoon,이상훈,상훈,12/23/1993,,South Korea,0,0,Cheongju,M,
616,Changbum,Woo Changbum,우창범,창범,10/7/1993,,South Korea,0,0,Sokcho,M,
617,Cory,Hong Joohyung,홍주현,코리,11/25/1990,24K,South Korea,175,58,Daegu,M,
618,Sungoh,Yoo Sungoh,유성오,성오,1/8/1991,,South Korea,0,0,,M,
619,Kisu,Choi Kisu,최기수,기수,10/2/1990,24K,South Korea,179,60,Seoul,M,
620,Daeil,Kim Daeil,김대일,대일,5/10/1992,,South Korea,0,0,Busan,M,
621,Jeonguk,Kim Jeonguk,김정욱,정욱,3/20/1993,24K,South Korea,178,58,Busan,M,
622,Hui,Liang Hui,양휘,양휘,7/18/1995,24K,China,178,58,,M,
623,Changsun,Lee Changsun,이창선,창선,3/17/1996,24K,South Korea,179,58,,M,
