,Stage Name ,Full Name ,Korean Name ,K. Stage Name,Date of Birth ,Group ,Country ,Height ,Weight,Birthplace ,Gender ,Instagram
126,Hyeyeon,Cho Hyeyeon,조혜연,혜연,8/5/2000,,South Korea,0,0,,F,
127,Hyojung,Choi Hyojung,최효정,효정,7/28/1994,Oh My Girl,South Korea,160,46,Yangyang,F,
128,JinE,Shin Hyejin,신혜진,진이,1/22/1995,,South Korea,160,48,Pohang,F,
129,Mimi,Kim Mihyun,김미현,미미,5/1/1995,Oh My Girl,South Korea,163,50,Jeju,F,
130,Yooa,Yoo Siah,유시아,유아,9/17/1995,Oh My Girl,South Korea,160,50,Seoul,F,
131,Seunghee,Hyun Seunghee,현승희,승희,1/25/1996,Oh My Girl,South Korea,160,48,Chuncheon,F,
132,Jiho,Kim Jiho,김지호,지호,4/4/1997,Oh My Girl,South Korea,165,49,Okcheon,F,
133,Yubin,Bae Yubin,배유빈,유빈,9/9/1997,Oh My Girl,South Korea,161,49,Chuncheon,F,
134,Arin,Choi Yewon,최예원,아린,6/18/1999,Oh My Girl,South Korea,163,47,Busan,F,
135,Babysoul,Lee Soojung,이수정,베이비소울,7/6/1992,Lovelyz,South Korea,158,41,Gwangju,F,
136,Jiae,Yoo Jiae,유지애,지애,5/21/1993,Lovelyz,South Korea,163,43,Seoul,F,
137,Jisoo,Seo Jisoo,서지수,지수,2/11/1994,Lovelyz,South Korea,165,46,Incheon,F,
138,Mijoo,Lee Mijoo,이미주,미주,9/23/1994,Lovelyz,South Korea,167,47,Okcheon,F,
139,Kei,Kim Jiyeon,김지연,케이,3/20/1995,Lovelyz,South Korea,162,47,Incheon,F,
140,JIN,Park Myungeun,박명은,진,6/12/1996,Lovelyz,South Korea,165,47,Busan,F,
141,Sujeong,Ryu Sujeong,류수정,수정,11/19/1997,Lovelyz,South Korea,168,48,Daejeon,F,
142,Yein,Jeong Yein,정예인,예인,6/4/1998,Lovelyz,South Korea,166,0,Incheon,F,
143,Yujeong,Kim Yujeong,김유정,유정,2/14/1992,,South Korea,161,42,Seoul,F,
144,Soyeon,Jung Soyeon,정소연,소연,5/4/1994,LABOUM,South Korea,161,44,Gwangju,F,
145,ZN,Bae Jinye,배진예,지엔,6/9/1994,LABOUM,South Korea,169,48,Bucheon,F,
146,Haein,Yeom Haein,염해인,해인,5/19/1995,LABOUM,South Korea,162,45,Ojeonggu,F,
147,Solbin,Ahn Solbin,안솔빈,솔빈,8/19/1997,LABOUM,South Korea,169,52,Ojeonggu,F,
148,Yulhee,Kim Yulhee,김율희,율희,11/27/1997,,South Korea,166,52,Bucheon,F,
149,Boram,Jeon Boram,전보람,보람,3/22/1986,,South Korea,155,45,Seoul,F,bo_ram_0322
150,Qri,Lee Jihyun,이지현,큐리,12/12/1986,T-ara,South Korea,162,44,Goyang,F,qtfreet
151,Soyeon,Park Soyeon,박소연,소연,10/5/1987,,South Korea,163,46,Andong,F,melodysoyani
152,Eunjung,Ham Eunjung,함은정,은정,12/12/1988,T-ara,South Korea,167,47,Seoul,F,sweetgirl_eunjung
153,Hyomin,Park Sunyoung,박선영,효민,5/30/1989,T-ara,South Korea,167,43,Busan,F,hyominnn
154,Jiyeon,Park Jiyeon,박지연,지연,6/7/1993,T-ara,South Korea,167,45,Seoul,F,jiyeon2__
155,Solar,Kim Yongsun,김용선,솔라,2/21/1991,Mamamoo,South Korea,163,43,Seoul,F,
156,Moonbyul,Moon Byulyi,문별이,문별,12/22/1992,Mamamoo,South Korea,165,45,Bucheon,F,
157,Wheein,Jung Wheein,정휘인,휘인,4/17/1995,Mamamoo,South Korea,162,43,Jeonju,F,
158,Hwasa,Ahn Hyejin,안혜진,화사,7/23/1995,Mamamoo,South Korea,162,44,Jeonju,F,
159,Yeoeun,Jung Jieun,정지은,여은,1/25/1990,MELODYDAY,South Korea,169,0,,F,yeosilver
160,Yein,Ahn Yein,안예인,예인,5/4/1995,MELODYDAY,South Korea,168,0,,F,yen_thankful954
161,Chahee,Park Sooyoung,박수영,차희,3/24/1996,MELODYDAY,South Korea,167,0,,F,hichaheebye
162,Yoomin,Na Yoomin,나유민,유민,8/29/1993,MELODYDAY,South Korea,165,0,,F,im.umin
163,Elkie,Chong Ting Yan,쫑딩얀,엘키,11/2/1998,,Hong Kong,163,45,Hong Kong,F,
164,Eunbin,Kwon Eunbin,권은빈,은빈,1/6/2000,CLC,South Korea,167,48,Seoul,F,
165,Jisoo,Kim Jisoo,김지수,지수,1/3/1995,BLACKPINK,South Korea,162,45,Seoul,F,
166,Jennie,Kim Jennie,김제니,제니,1/16/1996,BLACKPINK,South Korea,163,50,Anyang,F,
167,Rosé,Roseanne Park,로잔느 박,로제,2/11/1997,BLACKPINK,South Korea,167,0,Auckland,F,
168,Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,3/27/1997,BLACKPINK,Thailand,170,46,Bangkok,F,
169,Hyeji,Jeong Hyeji,정혜지,혜지,4/2/1992,4TEN,South Korea,0,0,Seoul,F,
170,Heeo,Gwak Heeoh,곽히오,히오,5/2/1994,4TEN,South Korea,0,0,,F,
171,Yoon,Heo Yoon,허윤,윤,9/23/1994,4TEN,South Korea,0,0,,F,
172,Hyejin,Baek Hyejin,백혜진,혜진,11/21/1996,4TEN,South Korea,0,0,Sacheon,F,
173,Uee,Kim Yujin,김유진,유이,4/9/1988,,South Korea,0,0,Daegu,F,
174,Raina,Oh Hyerin,오혜린,레이나,5/7/1989,After School,South Korea,0,0,Ulsan,F,raina_57
175,Nana,Im Jinah,임진아,나나,9/14/1991,After School,South Korea,0,0,Cheongju,F,jin_a_nana
176,Lizzy,Park Sooyoung,박수영,리지,7/31/1992,After School,South Korea,0,0,Busan,F,luvlyzzy
177,E-Young,Noh Yiyoung,노이영,이영,8/16/1992,After School,South Korea,0,0,Chuncheon,F,e_young0816
178,Kaeun,Lee Kaeun,이가은,가은,8/20/1994,After School,South Korea,0,0,Seoul,F,realkkaaanngg
179,Kahi,Park Jiyoung,박지영,가희,12/25/1980,,South Korea,0,0,Daegu,F,imisskahi
180,Jooyeon,Lee Jooyeon,이주연,주연,3/19/1987,,South Korea,0,0,Seoul,F,jupppal
181,Jungah,Kim Jungah,김정아,정아,8/2/1983,,South Korea,0,0,Incheon,F,i_am_jjunga
182,Soyoung,Yoo Soyoung,유소영,소영,3/29/1996,,South Korea,0,0,Seoul,F,ssossolovely
183,Bekah,Rebecca Kim,김레베카,베카,8/11/1989,,South Korea,0,0,Honolulu,F,
184,Chaewon,Kim Chaewon,김채원,채원,11/8/1997,APRIL,South Korea,0,0,Gongju,F,
185,Naeun,Lee Naeun,이나은,나은,5/5/1999,APRIL,South Korea,0,0,Daejeon,F,
186,Yena,Yang Yena,양예나,예나,5/22/2000,APRIL,South Korea,0,0,Daegu,F,
187,Jinsol,Lee Jinsol,이진솔,진솔,12/4/2001,APRIL,South Korea,0,0,Andong,F,
188,Hyunjoo,Lee Hyunjoo,이현주,현주,2/5/1998,UNI.T,South Korea,0,0,Seoul,F,
189,Monika,Kang Yeh,강예,모니카,5/21/1991,BADKIZ,South Korea,0,0,Seoul,F,maygirl_nika
190,LuA,Jo Hankyeung,조한경,루아,9/14/1991,BADKIZ,South Korea,0,0,Busan,F,
191,K.Me,Na Miri,나미리,케이미,4/10/1992,BADKIZ,South Korea,0,0,Yeosu,F,k.me93
192,Somin,Jang Somin,장소민,소민,11/10/1993,BADKIZ,South Korea,0,0,Gwangmyeon,F,somin.92
193,U-Si,Yoo Jiyeon,윤지연,유시,11/13/1997,BADKIZ,South Korea,0,0,Iksan,F,_u_si
194,Gabin,Kim Gabin,김가빈,가빈,9/18/1989,Blady,South Korea,0,0,Busan,F,_kimgabin
195,Dayoung,Kim Dayoung,김다영,다영,2/2/1991,Blady,South Korea,0,0,Jeonju,F,loloola22_
196,Giru,Park Giru,박기루,기루,8/14/1991,Blady,South Korea,0,0,Incheon,F,giru_p
197,Tina,Christine Joy Park,크리스틴 조이 박,티나,9/1/1994,Blady,USA,0,0,Los Angeles,F,nuhmootina
198,Yeeun,Hwang Yeeun,황예은,예은,1/12/1997,Blady,South Korea,0,0,Gimhae,F,yeeuneeeee_
199,Minyoung,Kim Minyeong,김민영,민영,9/12/1990,Brave Girls,South Korea,0,0,Seongnam,F,
200,Yujeong,Nam Yujeong,남유정,유정,5/2/1991,Brave Girls,South Korea,0,0,Seoul,F,
201,Eunji,Hong Eunji,홍은지,은지,7/19/1992,Brave Girls,South Korea,0,0,Seoul,F,
202,Yoojin,Jang Yoojin,정유진,유진,9/14/1992,,South Korea,0,0,,F,yoojinbabe
203,Yuna,Lee Yuna,이유나,유나,4/6/1993,Brave Girls,South Korea,0,0,Seoul,F,
204,Hyeran,Noh Hyeran,노혜란,혜란,4/9/1993,,South Korea,0,0,,F,hrannnoh
205,Hayun,Lee Hayun,이하윤,하윤,8/29/1994,,South Korea,0,0,Changwon,F,hayoon.y
206,Bona,Kim Jiyeon,김지연,보나,8/19/1995,Cosmic Girls,South Korea,163,0,Daegu,F,
207,Cheng Xiao,Cheng Xiao,청샤오,성소,7/15/1998,Cosmic Girls,China,167,0,Shenzhen,F,chengxiao_0715
208,Dayoung,Im Dayoung,임다영,다영,5/14/1999,Cosmic Girls,South Korea,161,0,Jeju,F,
209,Xuanyi,Wu Xuanyi,우쉬안이,선의,1/26/1995,Cosmic Girls,China,166,0,Hainan,F,
210,Eunseo,Son Juyeon,손주연,은서,5/27/1998,Cosmic Girls,South Korea,167,0,Incheon,F,_eunseo_v
211,Yeoreum,Lee Jinsook,이진숙,여름,1/10/1999,Cosmic Girls,South Korea,161,0,Seoul,F,
212,Seola,Kim Hyunjung,김현정,설아,12/24/1994,Cosmic Girls,South Korea,165,0,Seoul,F,seola_s
213,Exy,Chu Sojung,추소정,엑시,11/6/1995,Cosmic Girls,South Korea,166,0,Busan,F,exy_s2
214,Soobin,Park Soobin,박수빈,수빈,9/14/1996,Cosmic Girls,South Korea,159,0,Seoul,F,
215,Luda,Lee Luda,이루다,루다,3/6/1997,Cosmic Girls,South Korea,157,0,Seoul,F,
216,Dawon,Nam Dawon,남다원,다원,3/16/1997,Cosmic Girls,South Korea,167,0,Seoul,F,
217,Meiqi,Meng Meiqi,멍메이치,미기,10/15/1998,Cosmic Girls,China,164,0,Luoyang,F,
218,Yeonjung,Yu Yeonjung,유연정,연정,8/3/1999,Cosmic Girls,South Korea,167,52,Gwangmyeong,F,uyj_s
219,Geummi,Baek Boram,백보람,금미,6/18/1988,Crayon Pop,South Korea,165,0,Seoul,F,g.mi
220,Ellin,Kim Minyoung,김민영,엘린,4/2/1990,Crayon Pop,South Korea,165,44,Daegu,F,hiellin
221,Choa,Heo Minjin,허민진,초아,7/12/1990,Crayon Pop,South Korea,161,0,Seoul,F,
222,Way,Heo Minsun,허민선,웨이,7/12/1990,Crayon Pop,South Korea,161,0,Seoul,F,baysunny
223,Soyul,Park Hyekyeong,박혜경,소율,5/15/1991,Crayon Pop,South Korea,160,0,Seoul,F,
224,Hanna,Shin Jiyeon,신지연,한나,2/19/1994,MIXX,South Korea,170,48,,F,
225,Henny,Kang Gayoung,강가영,헤니,12/1/1994,,South Korea,168,50,,F,
226,Arie,Jeon Minjae,전민재,아리,4/7/2000,MIXX,South Korea,163,45,,F,
227,Liyah,Moon Liya,문리야,리야,5/11/2000,MIXX,South Korea,175,52,,F,
228,Jiu,Kim Minji,김민지,지유,5/17/1994,Dreamcatcher,South Korea,167,0,Daejeon,F,
229,Sua,Kim Bora,김보라,수아,8/10/1994,Dreamcatcher,South Korea,164,0,Changwon,F,
230,Siyeon,Lee Siyeon,이시연,시연,10/1/1995,Dreamcatcher,South Korea,170,0,Daegu,F,
231,Yoohyeon,Kim Yoohyeon,김유현,유현,1/7/1997,Dreamcatcher,South Korea,171,0,Incheon,F,
232,Dami,Lee Yoobin,이유빈,다미,3/7/1997,Dreamcatcher,South Korea,163,0,Seoul,F,
233,Hyebin,Lee Hyebin,이혜빈,혜빈,1/12/1996,MOMOLAND,South Korea,165,44,Andong,F,
234,Yeonwoo,Lee Dabin,이다빈,연우,8/1/1996,,South Korea,170,49,Seoul,F,
235,Jane,Sung Jiyeon,성지연,제인,12/20/1997,MOMOLAND,South Korea,167,46,Changwon,F,
236,Nayun,Kim Nayun,김나윤,나윤,7/31/1998,MOMOLAND,South Korea,167,48,Seoul,F,
237,Joo E,Lee Joowon,이주원,주이,8/18/1999,MOMOLAND,South Korea,164,45,Bucheon,F,
238,AhIn,Lee Ahin,이아인,아인,9/27/1999,MOMOLAND,South Korea,160,44,Wonju,F,
239,Nancy,Nancy Mcdonie,낸시 맥다니,낸시,4/13/2000,MOMOLAND,South Korea,162,45,Daegu,F,
240,Sumin,Ji Sumin,지수민,수민,3/3/1994,Sonamoo,South Korea,168,0,Yongin,F,
241,Minjae,Seong Minjae,성민재,민재,12/18/1994,Sonamoo,South Korea,165,0,Busan,F,
242,D.ana,Cho Eunae,조은애,디애나,9/10/1995,Sonamoo,South Korea,170,0,Seoul,F,
243,Nahyun,Kim Nahyun,김나현,나현,12/9/1995,Sonamoo,South Korea,170,0,Seoul,F,
244,Euijin,Hong Euijin,홍의진,의진,10/8/1996,Sonamoo,South Korea,168,0,Gwangju,F,
245,High.D,Kim Dohee,김도희,하이디,12/21/1996,Sonamoo,South Korea,165,0,Suwon,F,
246,New Sun,Choi Yoonsun,최윤선,뉴썬,6/19/1997,Sonamoo,South Korea,172,0,,F,
379,Somin,Jeon Somin,전소민,소민,8/22/1996,KARD,South Korea,0,0,Seoul,F,
380,Jiwoo,Jeon Jiwoo,전지우,지우,10/4/1996,KARD,South Korea,0,0,,F,
